IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),FinalDescription,AnimalGroupParent,PropertyType,SpecialServiceTypeCategory,SpecialServiceType,Borough,StnGroundName,AnimalClass,Code,London
188219091,16/10/2009 08:31,2009,2009/10,Special Service,1,1,260,260,FOX STUCK IN SWIMMING POOL,Fox,House - single occupancy ,Animal rescue from water,Wild animal rescue from water or mud,Havering,Wennington,Mammal,00AR,Outer London
189058091,17/10/2009 13:30,2009,2009/10,Special Service,1,1,260,260,DISTRESSED CAT STUCK UP TREE,Cat,Heathland ,Animal rescue from height,Animal rescue from height - Domestic pet,Bexley,Bexley,Mammal,00AD,Outer London
189627091,18/10/2009 00:38,2009,2009/10,Special Service,1,1,260,260,DOG TRAPPED IN BUSHES,Dog,Woodland/forest - conifers/softwood ,Other animal assistance,Animal assistance involving livestock - Other action,Hounslow,Feltham,Mammal,00AT,Outer London
191318091,20/10/2009 14:39,2009,2009/10,Special Service,2,7,260,1820,HORSE TRAPPED IN MUD AND WATER,Horse,River/canal ,Animal rescue from water,Animal rescue from water - Farm animal,Hillingdon,Hayes,Mammal,00AS,Outer London
191753091,21/10/2009 10:15,2009,2009/10,Special Service,1,3,260,780,CAT TRAPPED ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Croydon,Croydon,Mammal,00AH,Inner London
192366091,22/10/2009 12:14,2009,2009/10,Special Service,1,1,260,260,CAT STUCK INSIDE BUILDING,Cat,Private Garden Shed ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Hackney,Shoreditch,Mammal,00AM,Inner London
192841091,23/10/2009 07:27,2009,2009/10,Special Service,1,1,260,260,RUNNING CALL KITTEN WITH HEAD STUCK IN BONGO DRUMS,Cat,Fire station ,Other animal assistance,Animal assistance involving livestock - Other action,Newham,Stratford,Mammal,00BB,Outer London
192957091,23/10/2009 12:39,2009,2009/10,Special Service,1,1,260,260,DOG TRAPPED IN BARBED WIRE IN WOODS,Dog,Park ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Sutton,Sutton,Mammal,00BF,Inner London
193474091,24/10/2009 06:51,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED BEHIND FITTED CUPBOARD,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Westminster,Lambeth,Mammal,00BK,Outer London
194165091,25/10/2009 08:46,2009,2009/10,Special Service,1,1,260,260,CAT LOCKED IN BUILDING UNDER RENOVATION,Cat,Bungalow - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Bexley,Sidcup,Mammal,00AD,Inner London
194175091,25/10/2009 09:35,2009,2009/10,Special Service,1,1,260,260,CAT STUCK UP TREE,Cat,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Domestic pet,Haringey,Hornsey,Mammal,00AP,Inner London
194827091,26/10/2009 11:15,2009,2009/10,Special Service,1,1,260,260,ASSIST RSPCA WITH CAT ON LEDGE,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Haringey,Hornsey,Mammal,00AP,Outer London
195730091,27/10/2009 16:29,2009,2009/10,Special Service,1,1,260,260,CAT  STUCK IN DRAINPIPE,Cat,Pipe or drain ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Richmond Upon Thames,Twickenham,Mammal,00BD,Outer London
196171091,28/10/2009 09:52,2009,2009/10,Special Service,1,1,260,260,POSSIBLE CAT STUCK BEHIND FIRE PLACE,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Enfield,Enfield,Mammal,00AK,Outer London
196332091,28/10/2009 14:36,2009,2009/10,Special Service,1,1,260,260,DOG WITH HEAD STUCK IN FENCE,Dog,Park ,Other animal assistance,Animal assistance involving livestock - Other action,Havering,Harold Hill,Mammal,00AR,Inner London
197054091,29/10/2009 17:10,2009,2009/10,Special Service,1,1,260,260,INJURED CAT TRAPPED IN DERELICT BUILDING,Cat,Pre School/nursery ,Other animal assistance,Animal assistance involving livestock - Other action,Southwark,Dockhead,Mammal,00BE,Inner London
197069091,29/10/2009 17:30,2009,2009/10,Special Service,1,1,260,260,DOG LOCKED IN BEDROOM,Dog,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Islington,Shoreditch,Mammal,00AU,Outer London
197435091,30/10/2009 13:09,2009,2009/10,Special Service,1,1,260,260,SMALL ANIMAL POSSIBLY TRAPPED BEHIND WALL,Unknown - Heavy Livestock Animal,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Redbridge,Dagenham,Mammal,00BC,Inner London
198919091,01/11/2009 13:08,2009,2009/10,Special Service,1,2,260,520,CAT IN TREE,Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Hackney,Stoke Newington,Mammal,00AM,Inner London
199999091,03/11/2009 13:42,2009,2009/10,Special Service,1,1,260,260,CAT STUCK UP CHIMNEY,Cat,Converted Flat/Maisonettes - 3 or more storeys,Animal rescue from height,Animal rescue from height - Domestic pet,Lewisham,Forest Hill,Mammal,00AZ,Inner London
200399091,04/11/2009 08:21,2009,2009/10,Special Service,1,1,260,260,THREE KITTENS STUCK UP CHIMNEY,Cat,Converted Flat/Maisonettes - 3 or more storeys,Animal rescue from height,Animal rescue from height - Domestic pet,Westminster,Paddington,Mammal,00BK,Inner London
201050091,05/11/2009 15:38,2009,2009/10,Special Service,1,1,260,260,ASSIST RSPCA OFFICER WITH SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Newham,East Ham,Mammal,00BB,Outer London
201406091,05/11/2009 20:08,2009,2009/10,Special Service,1,1,260,260,DOG TRAPPED BETWEEN TOILET AND WALL,Dog,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Waltham Forest,Walthamstow,Mammal,00BH,Inner London
203387091,08/11/2009 15:25,2009,2009/10,Special Service,1,1,260,260,RUNNING CALL TO CAT TRAPPED IN BUILDING UNDER REFURBISHMENT,Cat,Private Summer house ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Kensington And Chelsea,Chelsea,Mammal,00AW,Inner London
204325091,10/11/2009 09:35,2009,2009/10,Special Service,1,1,260,260,CAT STUCK UNDERNEATH FLOORBOARDS,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Lambeth,West Norwood,Mammal,00AY,Outer London
205487091,12/11/2009 10:56,2009,2009/10,Special Service,1,1,260,260,SMALL ANIMAL RESCUE,Unknown - Wild Animal,Cycle path/public footpath/bridleway ,Animal rescue from below ground,Wild animal rescue from below ground,Enfield,Edmonton,Mammal,00AK,Inner London
205974091,13/11/2009 08:41,2009,2009/10,Special Service,1,1,260,260,DOG TRAPPED IN BARS OF STAIRCASE,Dog,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Lewisham,Forest Hill,Mammal,00AZ,Outer London
206274091,13/11/2009 19:03,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED IN GARAGE,Cat,Private garage ,Other animal assistance,Animal assistance involving livestock - Other action,Barking And Dagenham,Dagenham,Mammal,00AB,Outer London
206288091,13/11/2009 19:31,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED BEHIND CUPBOARD,Cat,Nursing/Care Home/Hospice,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Barnet,Barnet,Mammal,00AC,Outer London
206935091,14/11/2009 16:00,2009,2009/10,Special Service,1,1,260,260,DEER TRAPPED IN RAILINGS,Deer,"Grassland, pasture, grazing etc ",Other animal assistance,Animal assistance involving livestock - Other action,Croydon,Addington,Mammal,00AH,Inner London
207988091,16/11/2009 09:49,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED BETWEEN WALL AND SHED,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Hammersmith And Fulham,Fulham,Mammal,00AN,Outer London
208015091,16/11/2009 10:55,2009,2009/10,Special Service,1,1,260,260,TO ASSIST RSPCA WITH CAT ON HOUSE ROOF STUCK BETWEEN CHIMNEY POTS,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Richmond Upon Thames,Twickenham,Mammal,00BD,Outer London
208537091,17/11/2009 12:07,2009,2009/10,Special Service,1,3,260,780,DOG TRAPPED DOWN HOLE,Dog,Park ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Bromley,Orpington,Mammal,00AF,Outer London
208605091,17/11/2009 14:38,2009,2009/10,Special Service,1,1,260,260,BIRD TRAPPED IN NETTING,Bird,Multi-Storey car park,Animal rescue from height,Animal rescue from height - Bird,Kingston Upon Thames,Kingston,Bird,00AX,Outer London
208663091,17/11/2009 16:16,2009,2009/10,Special Service,,,260,,3 HORSES LOOSE ON CARRIAGEWAY,Horse,"Grassland, pasture, grazing etc ",Other animal assistance,Animal assistance involving livestock - Other action,Hillingdon,Hillingdon,Mammal,00AS,Outer London
209647091,19/11/2009 13:33,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED IN DERELICT PUB,Cat,Pub/wine bar/bar ,Animal rescue from height,Animal rescue from height - Domestic pet,Barking And Dagenham,Barking,Mammal,00AB,Inner London
209722091,19/11/2009 15:59,2009,2009/10,Special Service,1,1,260,260,CAT STUCK BETWEEN WALL,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Haringey,Hornsey,Mammal,00AP,Outer London
210177091,20/11/2009 14:04,2009,2009/10,Special Service,1,1,260,260,CAT STUCK BEHIND BATH,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Merton,Mitcham,Mammal,00BA,Outer London
211205091,22/11/2009 09:58,2009,2009/10,Special Service,1,1,260,260,KITTEN WITH TRAPPED IN CAVITY BEHIND KITCHEN CUPBOARD,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Bromley,Beckenham,Mammal,00AF,Outer London
211435091,22/11/2009 16:55,2009,2009/10,Special Service,1,1,260,260,DOG STUCK ON RIVER BANK OF RIVER THAMES,Dog,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Richmond Upon Thames,Richmond,Mammal,00BD,Outer London
211780091,23/11/2009 10:03,2009,2009/10,Special Service,1,1,260,260,DISTRESSED PARROT STUCK IN TREE,Bird,Wasteland ,Animal rescue from height,Animal rescue from height - Bird,Waltham Forest,Walthamstow,Bird,00BH,Inner London
212340091,24/11/2009 14:21,2009,2009/10,Special Service,1,1,260,260,DOG TRAPPED BETWEEN RAILINGS,Dog,Other outdoor equipment/machinery ,Other animal assistance,Animal assistance involving livestock - Other action,Westminster,North Kensington,Mammal,00BK,Outer London
212840091,25/11/2009 12:57,2009,2009/10,Special Service,1,1,260,260,BIRD TRAPPED IN NETTING,Bird,Shelter ,Animal rescue from height,Animal rescue from height - Bird,Kingston Upon Thames,Kingston,Bird,00AX,Inner London
214680091,28/11/2009 13:52,2009,2009/10,Special Service,1,1,260,260,SMALL ANIMAL RESCUE - CAT TRAPPED BY NETTING IN TREE,Cat,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Domestic pet,Camden,Kentish Town,Mammal,00AG,Outer London
214917091,28/11/2009 21:00,2009,2009/10,Special Service,1,1,260,260,SMALL ANIMAL TRAPPED BEHIND BOX,Unknown - Wild Animal,House - single occupancy ,Animal rescue from height,Wild animal rescue from height,Barnet,Hendon,Mammal,00AC,Outer London
216000091,30/11/2009 17:52,2009,2009/10,Special Service,1,2,260,520,CAT STUCK BETWEEN TWO WALLS,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Havering,Harold Hill,Mammal,00AR,Outer London
216709091,01/12/2009 19:06,2009,2009/10,Special Service,1,1,260,260,DOG WITH LEG STUCK IN CAGE,Dog,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Bromley,Biggin Hill,Mammal,00AF,Inner London
217135091,02/12/2009 14:45,2009,2009/10,Special Service,1,1,260,260,CAT FALLEN FROM ROOF ONTO SPIKE,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Lewisham,Beckenham,Mammal,00AZ,Inner London
217651091,03/12/2009 13:09,2009,2009/10,Special Service,1,1,260,260,ASSIST RSPCA WITH CAT ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Lambeth,Brixton,Mammal,00AY,Outer London
217775091,03/12/2009 17:39,2009,2009/10,Special Service,1,1,260,260,CAT POSSIBLY WITH FOOT STUCK ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Barnet,Southgate,Mammal,00AC,Outer London
217837091,03/12/2009 19:48,2009,2009/10,Special Service,1,1,260,260,DOG FALLEN INTO CANAL,Dog,River/canal ,Animal rescue from water,Wild animal rescue from water or mud,Bexley,Plumstead,Mammal,00AD,Inner London
219412091,06/12/2009 18:59,2009,2009/10,Special Service,1,3,260,780,CAT LOCKED IN AT SCENE OF PREVIOUS FIRE,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Wandsworth,Wandsworth,Mammal,00BJ,Outer London
219738091,07/12/2009 12:02,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Hillingdon,Hillingdon,Mammal,00AS,Outer London
219840091,07/12/2009 15:12,2009,2009/10,Special Service,1,1,260,260,BIRD TRAPPED IN NETTING,Bird,Multi-Storey car park,Animal rescue from height,Animal rescue from height - Bird,Kingston Upon Thames,Kingston,Bird,00AX,Outer London
220308091,08/12/2009 12:49,2009,2009/10,Special Service,1,1,260,260,ASSIST POLICE TO RESCUE DOG FALLEN INTO PIT,Dog,Private Garden Shed ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Hillingdon,Hillingdon,Mammal,00AS,Inner London
223140091,13/12/2009 12:51,2009,2009/10,Special Service,1,1,260,260,CAT STUCK UP TREE,Cat,Woodland/forest - conifers/softwood ,Animal rescue from height,Animal rescue from height - Domestic pet,Wandsworth,Wandsworth,Mammal,00BJ,Outer London
224109091,15/12/2009 08:41,2009,2009/10,Special Service,1,1,260,260,LARGE ANIMAL RESCUE -  INFIRMED HORSE THAT HAS FALLEN,Horse,Domestic garden (vegetation not equipment) ,Other animal assistance,Animal assistance - Lift heavy livestock animal,Greenwich,Plumstead,Mammal,00AL,Inner London
224156091,15/12/2009 10:49,2009,2009/10,Special Service,1,1,260,260,ASSIST RSPCA OFFICER WITH SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,Park ,Animal rescue from height,Animal rescue from height - Domestic pet,Lewisham,Lewisham,Mammal,00AZ,Inner London
225454091,17/12/2009 12:56,2009,2009/10,Special Service,1,1,260,260,DOG WITH HEAD TRAPPED IN RAILINGS,Dog,Railings,Other animal assistance,Animal assistance involving livestock - Other action,Lewisham,Deptford,Mammal,00AZ,Outer London
225555091,17/12/2009 16:22,2009,2009/10,Special Service,1,1,260,260,DOG WITH HEAD TRAPPED IN GATE RAILINGS,Dog,Park ,Other animal assistance,Animal assistance involving livestock - Other action,Waltham Forest,Woodford,Mammal,00BH,Outer London
226460091,19/12/2009 00:09,2009,2009/10,Special Service,1,1,260,260,FOX WITH FOOT CAUGHT IN WIRE FENCING,Fox,Railings,Animal rescue from height,Wild animal rescue from height,Bexley,Bexley,Mammal,00AD,Outer London
226648091,19/12/2009 09:36,2009,2009/10,Special Service,1,1,260,260,DOG IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Enfield,Enfield,Mammal,00AK,Inner London
226755091,19/12/2009 12:15,2009,2009/10,Special Service,1,1,260,260,CAT LOCKED IN NEXT DOOR NEIGHBOURS FLAT,Cat,Converted Flat/Maisonette - Up to 2 storeys ,Other animal assistance,Animal assistance involving livestock - Other action,Hammersmith And Fulham,North Kensington,Mammal,00AN,Outer London
227042091,19/12/2009 22:07,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED IN LOFT,Cat,Purpose Built Flats/Maisonettes - 10 or more storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Greenwich,Lee Green,Mammal,00AL,Outer London
227400091,20/12/2009 13:50,2009,2009/10,Special Service,1,1,260,260,GULL TRAPPED IN NETTING,Bird,Cycle path/public footpath/bridleway ,Animal rescue from height,Animal rescue from height - Bird,Harrow,Stanmore,Bird,00AQ,Outer London
227404091,20/12/2009 13:58,2009,2009/10,Special Service,1,1,260,260,CAT TRAPPED BETWEEN BUILDINGS,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Hounslow,Heston,Mammal,00AT,Outer London
227698091,20/12/2009 22:19,2009,2009/10,Special Service,1,1,260,260,DOG TRAPPED UNDER DECKING,Dog,House - single occupancy ,Other animal assistance,Animal assistance involving livestock - Other action,Croydon,Addington,Mammal,00AH,Outer London
227975091,21/12/2009 13:03,2009,2009/10,Special Service,1,1,260,260,DOG FALLEN THROUGH ICE IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Enfield,Enfield,Mammal,00AK,Outer London
228616091,22/12/2009 10:06,2009,2009/10,Special Service,1,1,260,260,RUNNING CALL TO KITTEN TRAPPED ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Hillingdon,Hillingdon,Mammal,00AS,Outer London
228746091,22/12/2009 15:05,2009,2009/10,Special Service,1,1,260,260,DOG IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Hounslow,Heston,Mammal,00AT,Outer London
229229091,23/12/2009 12:00,2009,2009/10,Special Service,1,1,260,260,BIRD WITH WINGS TRAPPED IN NETTING,Bird,Shopping Centre ,Animal rescue from height,Animal rescue from height - Bird,Kingston Upon Thames,Kingston,Bird,00AX,Outer London
229900091,24/12/2009 15:02,2009,2009/10,Special Service,2,3,260,780,DOG FALLEN INTO CANAL,Dog,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Enfield,Enfield,Mammal,00AK,Outer London
230352091,25/12/2009 11:28,2009,2009/10,Special Service,1,1,260,260,DOG STUCK IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Bexley,Bexley,Mammal,00AD,Inner London
230868091,26/12/2009 11:23,2009,2009/10,Special Service,1,1,260,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Wandsworth,Tooting,Mammal,00BJ,Inner London
230891091,26/12/2009 12:38,2009,2009/10,Special Service,1,2,260,520,CAT STUCK IN FIR TREE APPROX 45 FEET HIGH,Cat,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Domestic pet,Kensington And Chelsea,North Kensington,Mammal,00AW,Inner London
231397091,27/12/2009 16:59,2009,2009/10,Special Service,1,1,260,260,KITTEN TRAPPED UNDER DECKING,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Haringey,Tottenham,Mammal,00AP,Outer London
231733091,28/12/2009 11:52,2009,2009/10,Special Service,1,1,260,260,SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,Converted Flat/Maisonette - Up to 2 storeys ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Croydon,Croydon,Mammal,00AH,Outer London
231762091,28/12/2009 13:43,2009,2009/10,Special Service,1,1,260,260,BIRD TRAPPED IN EXTRACTOR FAN,Bird,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from height,Animal rescue from height - Bird,Waltham Forest,Chingford,Bird,00BH,Inner London
233284091,31/12/2009 18:09,2009,2009/10,Special Service,1,1,260,260,CAT STUCK UNDER FLOORBOARDS,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Newham,Stratford,Mammal,00BB,Inner London
248101,01/01/2010 09:12,2010,2009/10,Special Service,1,2,260,520,CAT TRAPPED BEHIND BEDROOM WALL,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Newham,Stratford,Mammal,00BB,Inner London
413101,01/01/2010 16:27,2010,2009/10,Special Service,1,3,260,780,PIGEON TRAPPED IN MESH,Bird,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Animal rescue from height,Animal rescue from height - Bird,Wandsworth,Wandsworth,Bird,00BJ,Outer London
1409101,03/01/2010 15:01,2010,2009/10,Special Service,1,1,260,260,CAT TRAPPED IN TREE,Cat,Other outdoor location ,Animal rescue from height,Animal rescue from height - Domestic pet,Barking And Dagenham,Barking,Mammal,00AB,Outer London
1886101,04/01/2010 12:02,2010,2009/10,Special Service,1,1,260,260,HORSE STUCK IN ICE,Horse,Wasteland ,Animal rescue from water,Animal rescue from water - Farm animal,Greenwich,Plumstead,Mammal,00AL,Outer London
3215101,06/01/2010 10:09,2010,2009/10,Special Service,2,5,260,1300,PUPPY STUCK ON ICED LAKE - WATER RESCUE LEVEL 2 IMPLEMENTED,Dog,Park ,Other animal assistance,Animal assistance involving livestock - Other action,Richmond Upon Thames,Kingston,Mammal,00BD,Outer London
3223101,06/01/2010 10:22,2010,2009/10,Special Service,1,1,260,260,DOG FALLEN THROUGH ICE ON BOATING POND,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Barking And Dagenham,Barking,Mammal,00AB,Inner London
3814101,07/01/2010 10:21,2010,2009/10,Special Service,1,1,260,260,DOG FALLEN INTO FROZEN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Wandsworth,Battersea,Mammal,00BJ,Outer London
3975101,07/01/2010 15:04,2010,2009/10,Special Service,1,1,260,260,SMALL ANIMAL RESCUE - CAT TRAPPED UNDER RUBBLE PILE,Cat,Other outdoor location ,Other animal assistance,Animal assistance involving livestock - Other action,Kingston Upon Thames,Kingston,Mammal,00AX,Outer London
4416101,08/01/2010 09:35,2010,2009/10,Special Service,1,1,260,260,DOG IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Havering,Hornchurch,Mammal,00AR,Inner London
4496101,08/01/2010 12:57,2010,2009/10,Special Service,1,1,260,260,DOG STUCK IN FROZEN POND,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Wandsworth,Tooting,Mammal,00BJ,Outer London
4669101,08/01/2010 18:18,2010,2009/10,Special Service,1,2,260,520,CAT STUCK BETWEEN TWO WALLS,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Bexley,Eltham,Mammal,00AD,Inner London
4716101,08/01/2010 19:25,2010,2009/10,Special Service,1,1,260,260,CAT TRAPPED UNDER DECKING,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Islington,Holloway,Mammal,00AU,Inner London
5172101,09/01/2010 14:20,2010,2009/10,Special Service,1,1,260,260,CAT TRAPPED IN DIVAN,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Hackney,Homerton,Mammal,00AM,Outer London
5250101,09/01/2010 16:20,2010,2009/10,Special Service,1,1,260,260,CAT STUCK IN BARBED WIRE,Cat,Other outdoor location ,Animal rescue from height,Animal rescue from height - Domestic pet,Greenwich,Plumstead,Mammal,00AL,Outer London
5871101,10/01/2010 15:45,2010,2009/10,Special Service,3,2,260,520,DOG FALLEN IN LAKE - WATER RESCUE LEVEL 2,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Enfield,Enfield,Mammal,00AK,Outer London
6179101,11/01/2010 02:11,2010,2009/10,Special Service,1,1,260,260,CAT WITH FOOT TRAPPED BETWEEN GRATE AND DOOR,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Hounslow,Feltham,Mammal,00AT,Outer London
6277101,11/01/2010 09:24,2010,2009/10,Special Service,1,1,260,260,DOG IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Waltham Forest,Woodford,Mammal,00BH,Outer London
6311101,11/01/2010 10:34,2010,2009/10,Special Service,1,1,260,260,DOG STUCK IN POND,Dog,Park ,Animal rescue from water,Animal rescue from water - Domestic pet,Kingston Upon Thames,New Malden,Mammal,00AX,Outer London
6323101,11/01/2010 11:12,2010,2009/10,Special Service,1,1,260,260,DOG TRAPPED IN FOXHOLE,Dog,Domestic garden (vegetation not equipment) ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Richmond Upon Thames,Hammersmith,Mammal,00BD,Outer London
6350101,11/01/2010 12:22,2010,2009/10,Special Service,1,1,260,260,DOG IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Enfield,Enfield,Mammal,00AK,Inner London
6386101,11/01/2010 13:17,2010,2009/10,Special Service,1,1,260,260,PERSON AND DOG STUCK IN LAKE,Dog,Park ,Animal rescue from water,Animal rescue from water - Domestic pet,Wandsworth,Tooting,Mammal,00BJ,Inner London
6453101,11/01/2010 15:18,2010,2009/10,Special Service,1,2,260,520,DOG TRAPPED IN  ICE  IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Wandsworth,Battersea,Mammal,00BJ,Inner London
6543101,11/01/2010 18:14,2010,2009/10,Special Service,1,1,260,260,CALLED BY RSPCA CAT STUCK IN TREE,Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Newham,Stratford,Mammal,00BB,Outer London
6547101,11/01/2010 18:18,2010,2009/10,Special Service,1,1,260,260,TWO DOGS IN WATER WATER RESCUE LEVEL 2,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Waltham Forest,Woodford,Mammal,00BH,Inner London
6548101,11/01/2010 18:19,2010,2009/10,Special Service,1,1,260,260,ANIMAL TRAPPED IN WIRE FENCING REAR OF,Unknown - Heavy Livestock Animal,Railway trackside vegetation ,Other animal assistance,Animal assistance involving livestock - Other action,Islington,Islington,Mammal,00AU,Outer London
6881101,12/01/2010 09:27,2010,2009/10,Special Service,1,1,260,260,DOG FALLEN THROUGH ICE INTO LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Havering,Romford,Mammal,00AR,Outer London
6909101,12/01/2010 10:44,2010,2009/10,Special Service,2,3,260,780,DOG IN LAKE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Havering,Harold Hill,Mammal,00AR,Inner London
7223101,12/01/2010 21:25,2010,2009/10,Special Service,1,1,260,260,DOG FALLEN THROUGH ICE,Dog,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Domestic pet,Hackney,Stoke Newington,Mammal,00AM,Inner London
7565101,13/01/2010 14:49,2010,2009/10,Special Service,1,1,260,260,DOG TRAPPED BETWEEN 2 BUILDINGS,Dog,Domestic garden (vegetation not equipment) ,Other animal assistance,Animal assistance involving livestock - Other action,Islington,Kentish Town,Mammal,00AU,Inner London
7588101,13/01/2010 15:44,2010,2009/10,Special Service,1,1,260,260,DOG STUCK IN FENCE,Dog,Converted Flat/Maisonettes - 3 or more storeys,Other animal assistance,Animal assistance involving livestock - Other action,Islington,Kentish Town,Mammal,00AU,Outer London
